freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.706e+01,2.617e+01,1.706e+01,6.030e+01
1.5,3.329e+01,5.773e+01,3.329e+01,1.243e+02
3.0,3.267e+01,5.850e+01,3.267e+01,1.239e+02
4.4,3.357e+01,5.906e+01,3.357e+01,1.262e+02
5.9,3.000e+01,6.252e+01,3.000e+01,1.225e+02
7.4,3.113e+01,6.494e+01,3.113e+01,1.272e+02
8.9,3.118e+01,7.154e+01,3.118e+01,1.339e+02
10.3,3.150e+01,7.883e+01,3.150e+01,1.418e+02
11.8,3.325e+01,8.699e+01,3.325e+01,1.535e+02
13.3,3.678e+01,9.071e+01,3.678e+01,1.643e+02
14.8,3.882e+01,9.574e+01,3.882e+01,1.734e+02
16.3,3.796e+01,9.943e+01,3.796e+01,1.754e+02
17.7,4.202e+01,1.074e+02,4.202e+01,1.915e+02
19.2,4.684e+01,1.187e+02,4.684e+01,2.123e+02
20.7,4.760e+01,1.362e+02,4.760e+01,2.314e+02
22.2,5.699e+01,1.648e+02,5.699e+01,2.788e+02
23.7,7.298e+01,2.264e+02,7.298e+01,3.723e+02
25.1,8.648e+01,2.559e+02,8.648e+01,4.288e+02
26.6,1.073e+02,3.282e+02,1.073e+02,5.428e+02
28.1,1.183e+02,3.984e+02,1.183e+02,6.350e+02
29.6,1.009e+02,3.998e+02,1.009e+02,6.017e+02
31.0,1.133e+02,4.905e+02,1.133e+02,7.171e+02
32.5,1.532e+02,6.383e+02,1.532e+02,9.447e+02
34.0,2.602e+02,1.019e+03,2.602e+02,1.539e+03
35.5,4.325e+02,1.615e+03,4.325e+02,2.480e+03
37.0,7.281e+02,2.574e+03,7.281e+02,4.030e+03
38.4,1.175e+03,4.029e+03,1.175e+03,6.380e+03
39.9,1.496e+03,4.712e+03,1.496e+03,7.704e+03
41.4,1.647e+03,4.579e+03,1.647e+03,7.873e+03
42.9,1.832e+03,4.638e+03,1.832e+03,8.302e+03
44.4,2.169e+03,5.565e+03,2.169e+03,9.903e+03
45.8,3.169e+03,7.689e+03,3.169e+03,1.403e+04
47.3,5.423e+03,1.163e+04,5.423e+03,2.247e+04
48.8,8.140e+03,1.766e+04,8.140e+03,3.394e+04
50.3,1.134e+04,2.807e+04,1.134e+04,5.075e+04
51.7,1.265e+04,3.965e+04,1.265e+04,6.494e+04
53.2,1.106e+04,3.559e+04,1.106e+04,5.771e+04
54.7,8.381e+03,2.461e+04,8.381e+03,4.137e+04
56.2,6.394e+03,2.379e+04,6.394e+03,3.658e+04
57.7,5.511e+03,2.506e+04,5.511e+03,3.609e+04
59.1,6.246e+03,2.558e+04,6.246e+03,3.807e+04
60.6,7.779e+03,2.567e+04,7.779e+03,4.123e+04
62.1,8.578e+03,2.469e+04,8.578e+03,4.184e+04
63.6,8.426e+03,2.259e+04,8.426e+03,3.944e+04
65.1,7.443e+03,1.929e+04,7.443e+03,3.418e+04
66.5,6.626e+03,1.643e+04,6.626e+03,2.968e+04
68.0,6.486e+03,1.474e+04,6.486e+03,2.771e+04
69.5,6.793e+03,1.429e+04,6.793e+03,2.788e+04
71.0,6.975e+03,1.377e+04,6.975e+03,2.772e+04
72.4,7.528e+03,1.410e+04,7.528e+03,2.916e+04
73.9,9.520e+03,1.580e+04,9.520e+03,3.485e+04
75.4,1.223e+04,1.747e+04,1.223e+04,4.194e+04
76.9,1.458e+04,1.824e+04,1.458e+04,4.740e+04
78.4,1.589e+04,1.792e+04,1.589e+04,4.970e+04
79.8,1.588e+04,1.704e+04,1.588e+04,4.879e+04
81.3,1.490e+04,1.667e+04,1.490e+04,4.647e+04
82.8,1.351e+04,1.643e+04,1.351e+04,4.345e+04
84.3,1.218e+04,1.597e+04,1.218e+04,4.034e+04
85.7,1.086e+04,1.517e+04,1.086e+04,3.690e+04
87.2,9.798e+03,1.420e+04,9.798e+03,3.380e+04
88.7,9.171e+03,1.335e+04,9.171e+03,3.169e+04
90.2,9.313e+03,1.329e+04,9.313e+03,3.192e+04
91.7,1.099e+04,1.467e+04,1.099e+04,3.664e+04
93.1,1.282e+04,1.634e+04,1.282e+04,4.198e+04
94.6,1.235e+04,1.715e+04,1.235e+04,4.185e+04
96.1,1.249e+04,1.816e+04,1.249e+04,4.315e+04
97.6,1.495e+04,1.962e+04,1.495e+04,4.952e+04
99.1,1.959e+04,2.014e+04,1.959e+04,5.933e+04
100.5,2.308e+04,1.891e+04,2.308e+04,6.507e+04
102.0,2.396e+04,1.712e+04,2.396e+04,6.503e+04
103.5,2.267e+04,1.625e+04,2.267e+04,6.159e+04
105.0,1.994e+04,1.387e+04,1.994e+04,5.375e+04
106.4,2.819e+04,1.652e+04,2.819e+04,7.290e+04
107.9,2.360e+04,1.683e+04,2.360e+04,6.403e+04
109.4,2.149e+04,1.660e+04,2.149e+04,5.959e+04
110.9,2.214e+04,1.779e+04,2.214e+04,6.206e+04
112.4,2.102e+04,1.844e+04,2.102e+04,6.047e+04
113.8,1.765e+04,1.731e+04,1.765e+04,5.261e+04
115.3,1.434e+04,1.627e+04,1.434e+04,4.494e+04
116.8,1.321e+04,1.687e+04,1.321e+04,4.330e+04
118.3,1.460e+04,1.731e+04,1.460e+04,4.652e+04
119.8,1.789e+04,1.853e+04,1.789e+04,5.432e+04
121.2,2.153e+04,1.980e+04,2.153e+04,6.286e+04
122.7,2.364e+04,1.943e+04,2.364e+04,6.671e+04
