freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.712e+01,2.756e+02,1.712e+01,3.098e+02
1.5,2.620e+01,1.856e+02,2.620e+01,2.380e+02
3.0,2.230e+01,5.116e+01,2.230e+01,9.577e+01
4.4,2.309e+01,2.827e+02,2.309e+01,3.289e+02
5.9,2.393e+01,1.061e+03,2.393e+01,1.109e+03
7.4,2.528e+01,1.685e+03,2.528e+01,1.736e+03
8.9,2.538e+01,2.476e+03,2.538e+01,2.527e+03
10.3,2.534e+01,3.456e+03,2.534e+01,3.507e+03
11.8,2.445e+01,5.019e+03,2.445e+01,5.068e+03
13.3,2.801e+01,7.302e+03,2.801e+01,7.358e+03
14.8,3.052e+01,9.979e+03,3.052e+01,1.004e+04
16.3,3.212e+01,1.291e+04,3.212e+01,1.297e+04
17.7,3.516e+01,1.573e+04,3.516e+01,1.580e+04
19.2,3.558e+01,1.732e+04,3.558e+01,1.739e+04
20.7,3.494e+01,2.032e+04,3.494e+01,2.039e+04
22.2,4.105e+01,2.601e+04,4.105e+01,2.609e+04
23.6,3.967e+01,3.351e+04,3.967e+01,3.359e+04
25.1,4.476e+01,3.891e+04,4.476e+01,3.900e+04
26.6,7.210e+01,4.568e+04,7.210e+01,4.582e+04
28.1,9.875e+01,5.750e+04,9.875e+01,5.769e+04
29.6,1.075e+02,7.401e+04,1.075e+02,7.423e+04
31.0,1.690e+02,9.777e+04,1.690e+02,9.811e+04
32.5,3.392e+02,1.277e+05,3.392e+02,1.284e+05
34.0,7.017e+02,1.589e+05,7.017e+02,1.603e+05
35.5,9.655e+02,1.741e+05,9.655e+02,1.760e+05
36.9,8.355e+02,1.942e+05,8.355e+02,1.958e+05
38.4,7.233e+02,2.520e+05,7.233e+02,2.535e+05
39.9,1.182e+03,3.344e+05,1.182e+03,3.368e+05
41.4,2.514e+03,4.665e+05,2.514e+03,4.716e+05
42.8,3.716e+03,5.441e+05,3.716e+03,5.515e+05
44.3,3.742e+03,4.767e+05,3.742e+03,4.842e+05
45.8,3.244e+03,4.091e+05,3.244e+03,4.155e+05
47.3,2.938e+03,3.761e+05,2.938e+03,3.820e+05
48.8,2.911e+03,3.428e+05,2.911e+03,3.486e+05
50.2,2.656e+03,3.068e+05,2.656e+03,3.121e+05
51.7,2.371e+03,2.964e+05,2.371e+03,3.011e+05
53.2,2.136e+03,3.027e+05,2.136e+03,3.069e+05
54.7,1.961e+03,3.125e+05,1.961e+03,3.164e+05
56.1,1.621e+03,2.684e+05,1.621e+03,2.716e+05
57.6,1.412e+03,1.801e+05,1.412e+03,1.829e+05
59.1,1.646e+03,1.132e+05,1.646e+03,1.165e+05
60.6,2.481e+03,6.778e+04,2.481e+03,7.274e+04
62.1,3.799e+03,3.855e+04,3.799e+03,4.615e+04
63.5,5.211e+03,2.358e+04,5.211e+03,3.401e+04
65.0,6.408e+03,1.736e+04,6.408e+03,3.018e+04
66.5,7.050e+03,1.488e+04,7.050e+03,2.898e+04
68.0,7.721e+03,1.419e+04,7.721e+03,2.963e+04
69.4,9.449e+03,1.518e+04,9.449e+03,3.408e+04
70.9,1.165e+04,1.682e+04,1.165e+04,4.011e+04
72.4,1.362e+04,1.841e+04,1.362e+04,4.565e+04
73.9,1.424e+04,1.948e+04,1.424e+04,4.796e+04
75.4,1.470e+04,2.081e+04,1.470e+04,5.020e+04
76.8,1.670e+04,2.274e+04,1.670e+04,5.614e+04
78.3,1.904e+04,2.490e+04,1.904e+04,6.298e+04
79.8,2.103e+04,2.704e+04,2.103e+04,6.909e+04
81.3,2.162e+04,2.914e+04,2.162e+04,7.238e+04
82.7,2.314e+04,3.142e+04,2.314e+04,7.770e+04
84.2,2.652e+04,3.467e+04,2.652e+04,8.771e+04
85.7,3.111e+04,3.693e+04,3.111e+04,9.915e+04
87.2,3.583e+04,3.835e+04,3.583e+04,1.100e+05
88.7,4.040e+04,3.887e+04,4.040e+04,1.197e+05
90.1,4.386e+04,3.893e+04,4.386e+04,1.266e+05
91.6,4.747e+04,3.923e+04,4.747e+04,1.342e+05
93.1,5.266e+04,4.004e+04,5.266e+04,1.454e+05
94.6,5.927e+04,4.103e+04,5.927e+04,1.596e+05
96.0,6.526e+04,4.082e+04,6.526e+04,1.713e+05
97.5,6.712e+04,3.821e+04,6.712e+04,1.725e+05
99.0,6.420e+04,3.363e+04,6.420e+04,1.620e+05
100.5,6.191e+04,2.963e+04,6.191e+04,1.534e+05
101.9,6.090e+04,2.660e+04,6.090e+04,1.484e+05
103.4,5.821e+04,2.305e+04,5.821e+04,1.395e+05
104.9,4.633e+04,1.789e+04,4.633e+04,1.106e+05
106.4,4.750e+04,1.636e+04,4.750e+04,1.114e+05
107.9,4.103e+04,1.340e+04,4.103e+04,9.545e+04
109.3,3.481e+04,1.078e+04,3.481e+04,8.040e+04
